,timepoint,time (s),index range around maximum,values range around maximum,max parabola,deviation (pixel),deviation (nm),threshold (nm),thresholded deviation
0,5.0,0.0,"(16, 17, 18, 19, 20, 21, 22)",[2425 2875 3385 3650 3173 2090 1249],18.49918259557345,1.217729017124796,125.66963456727895,418.04051352186065,True
0,6.0,0.25,"(16, 17, 18, 19, 20, 21, 22)",[2365 2894 3427 3675 3263 2244 1321],18.578090575275407,1.2966369968267522,133.8129380725208,418.04051352186065,True
0,7.0,0.5,"(16, 17, 18, 19, 20, 21, 22)",[2255 2629 3177 3529 3240 2321 1395],18.68912482635444,1.4076712479057853,145.27167278387705,418.04051352186065,True
0,8.0,0.75,"(16, 17, 18, 19, 20, 21, 22)",[2154 2544 3038 3540 3440 2490 1473],18.830293033184553,1.548839454735898,159.84023172874467,418.04051352186065,True
0,9.0,1.0,"(16, 17, 18, 19, 20, 21, 22)",[2148 2504 2972 3519 3437 2515 1477],18.849189616550273,1.5677360381016179,161.79035913208696,418.04051352186065,True
0,10.0,1.25,"(16, 17, 18, 19, 20, 21, 22)",[2049 2403 2887 3494 3436 2450 1460],18.890519480519487,1.6090659020708316,166.0556010937098,418.04051352186065,True
0,11.0,1.5,"(17, 18, 19, 20, 21, 22, 23)",[2468 2963 3397 3413 2545 1528 1009],19.137976300290862,1.8565227218422073,191.5931448941158,418.04051352186065,True
0,12.0,1.75,"(16, 17, 18, 19, 20, 21, 22)",[2093 2344 2807 3410 3403 2597 1598],18.958414766558093,1.6769611881094377,173.06239461289397,418.04051352186065,True
0,13.0,2.0,"(16, 17, 18, 19, 20, 21, 22)",[2242 2615 3060 3497 3268 2317 1436],18.71135646687698,1.4299028884283231,147.56597808580293,418.04051352186065,True
0,14.0,2.25,"(16, 17, 18, 19, 20, 21, 22)",[2332 2780 3232 3453 3227 2353 1389],18.62068019747669,1.339226619028036,138.2081870836933,418.04051352186065,True
0,15.0,2.5,"(16, 17, 18, 19, 20, 21, 22)",[2349 2766 3227 3442 3049 2143 1296],18.52164080439775,1.2401872259490965,127.98732171794674,418.04051352186065,True
0,16.0,2.75,"(16, 17, 18, 19, 20, 21, 22)",[2347 2795 3165 3197 2860 2038 1173],18.39595114227551,1.1144975638268555,115.0161485869315,418.04051352186065,True
0,17.0,3.0,"(16, 17, 18, 19, 20, 21, 22)",[2296 2692 3069 3275 2961 2040 1265],18.495143817706392,1.213690239257737,125.25283269139845,418.04051352186065,True
0,18.0,3.25,"(16, 17, 18, 19, 20, 21, 22)",[2225 2579 3039 3431 3079 2043 1209],18.589482157231032,1.3080285787823769,134.9885493303413,418.04051352186065,True
0,19.0,3.5,"(16, 17, 18, 19, 20, 21, 22)",[2142 2507 2985 3345 3004 2068 1301],18.641027455420332,1.3595738769716768,140.30802410347704,418.04051352186065,True
0,20.0,3.75,"(16, 17, 18, 19, 20, 21, 22)",[2123 2460 2796 3160 3040 2175 1353],18.690319548872186,1.4088659704235305,145.39496814770834,418.04051352186065,True
0,21.0,4.0,"(16, 17, 18, 19, 20, 21, 22)",[2119 2436 2788 3134 3034 2261 1329],18.709214856605556,1.4277612781569005,147.34496390579213,418.04051352186065,True
