 ,Area,Mean,X,Y,Circ.,Slice,AR,Round,Solidity
1,304.939,255,263.707,144.746,0.635,1,1.855,0.539,0.866
2,311.699,255,264.568,143.001,0.634,2,1.880,0.532,0.859
3,306.841,255,264.204,144.669,0.632,3,1.893,0.528,0.860
4,319.093,255,264.705,143.175,0.605,4,1.985,0.504,0.851
5,309.376,255,264.400,143.969,0.616,5,1.991,0.502,0.855
6,311.699,255,264.117,143.649,0.598,6,2.065,0.484,0.852
7,309.059,255,263.989,144.043,0.574,7,2.020,0.495,0.859
8,306.207,255,263.918,143.736,0.573,8,2.115,0.473,0.833
9,307.897,255,263.990,144.277,0.605,9,2.012,0.497,0.858
10,306.312,255,264.093,144.377,0.600,10,2.030,0.492,0.853
11,305.256,255,264.543,144.352,0.580,11,2.025,0.494,0.847
12,308.848,255,264.491,144.160,0.567,12,1.999,0.500,0.864
13,309.270,255,264.543,144.139,0.598,13,2.017,0.496,0.858
14,306.524,255,264.390,143.682,0.626,14,2.005,0.499,0.869
15,314.657,255,264.584,143.577,0.617,15,1.983,0.504,0.860
16,311.277,255,264.669,143.017,0.614,16,1.986,0.504,0.862
17,312.650,255,264.471,143.144,0.587,17,1.991,0.502,0.844
18,314.340,255,264.406,142.984,0.572,18,2.055,0.487,0.848
19,317.720,255,264.526,142.960,0.505,19,2.007,0.498,0.848
20,321.100,255,264.365,142.934,0.634,20,2.012,0.497,0.876
21,316.769,255,264.868,142.634,0.539,21,1.988,0.503,0.859
22,321.417,255,264.597,142.582,0.663,22,1.904,0.525,0.887
23,321.417,255,264.891,142.321,0.659,23,1.873,0.534,0.878
24,321.945,255,264.647,142.443,0.677,24,1.882,0.531,0.891
25,326.909,255,264.576,142.363,0.681,25,1.872,0.534,0.890
26,319.833,255,264.707,142.246,0.679,26,1.822,0.549,0.890
27,321.945,255,264.710,142.378,0.657,27,1.834,0.545,0.881
28,322.684,255,264.637,142.316,0.690,28,1.771,0.565,0.887
29,313.073,255,265.031,142.399,0.631,29,1.754,0.570,0.874
30,316.664,255,265.779,142.231,0.577,30,1.730,0.578,0.875
31,308.636,255,265.324,141.995,0.546,31,1.746,0.573,0.860
32,311.594,255,265.041,141.831,0.556,32,1.725,0.580,0.876
33,311.699,255,264.944,142.081,0.547,33,1.741,0.574,0.875
34,318.882,255,264.749,141.790,0.545,34,1.763,0.567,0.881
35,312.967,255,264.991,141.917,0.530,35,1.722,0.581,0.876
36,310.009,255,265.217,142.267,0.496,36,1.748,0.572,0.857
37,303.249,255,265.357,142.254,0.506,37,1.748,0.572,0.851
38,307.580,255,265.428,142.376,0.532,38,1.753,0.571,0.865
39,311.699,255,264.946,142.201,0.523,39,1.796,0.557,0.866
40,310.221,255,264.615,142.334,0.663,40,1.798,0.556,0.870
41,316.558,255,264.926,142.387,0.646,41,1.797,0.556,0.872
42,306.312,255,265.197,142.825,0.671,42,1.824,0.548,0.877
43,307.052,255,265.390,142.971,0.654,43,1.842,0.543,0.876
44,308.002,255,265.389,142.704,0.662,44,1.881,0.532,0.879
45,309.164,255,265.461,142.638,0.664,45,1.866,0.536,0.875
